序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
205,胡博,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
206,郜培文,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
207,顾劲扬,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
208,胡建波,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
209,贾娜,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
210,贾雪,中国工程物理研究院,中国工程物理研究院,中国工程物理研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
211,刘健,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
212,刘娜,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
213,刘帅,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
214,马磊,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
215,彭超,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
216,王磊,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
217,王毅,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
218,吴琼,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
219,徐平,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
220,杨晓,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
221,张超,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
222,张峰,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
223,张磊,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
224,张莉,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
225,张敏,军事医学研究院,军事医学研究院,军事医学研究院,国家杰出青年科学基金获得者,2025,科学家之家公众号2025年杰青公示,https://zhuanlan.zhihu.com/p/xxxxxx
