序号,申请人,单位,院系,高校名称,人才称号,入选年份,数据来源,原始链接
285,刘一峰,中山大学,大气科学学院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
286,吴勇,中山大学,附属第一医院肾内科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
287,郭志勇,中山大学,附属第一医院器官移植科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
288,胡博,重庆大学,土木工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
289,郝博,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
290,顾劲扬,重庆医科大学,附属第一医院肝胆外科,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
291,侯波,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
292,张菲,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
293,王春,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
294,张睿喆,中国农业科学院深圳农业基因组研究所,深圳农业基因组研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
295,刘一峰,中山大学,大气科学学院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
296,吴勇,中山大学,附属第一医院肾内科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
297,郭志勇,中山大学,附属第一医院器官移植科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
298,胡博,重庆大学,土木工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
299,郝博,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
300,顾劲扬,重庆医科大学,附属第一医院肝胆外科,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
301,侯波,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
302,张菲,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
303,王春,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
304,张睿喆,中国农业科学院深圳农业基因组研究所,深圳农业基因组研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
305,刘一峰,中山大学,大气科学学院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
306,吴勇,中山大学,附属第一医院肾内科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
307,郭志勇,中山大学,附属第一医院器官移植科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
308,胡博,重庆大学,土木工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zh/
309,郝博,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
310,顾劲扬,重庆医科大学,附属第一医院肝胆外科,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
311,侯波,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
312,张菲,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
313,王春,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
314,张睿喆,中国农业科学院深圳农业基因组研究所,深圳农业基因组研究所,中国农业科学院,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
315,刘一峰,中山大学,大气科学学院,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
316,吴勇,中山大学,附属第一医院肾内科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
317,郭志勇,中山大学,附属第一医院器官移植科,中山大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
318,胡博,重庆大学,土木工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
319,郝博,重庆大学,电气工程学院,重庆大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
320,顾劲扬,重庆医科大学,附属第一医院肝胆外科,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
321,侯波,重庆医科大学,附属第一医院,重庆医科大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
322,张菲,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
323,王春,中国农业大学,草业学院,中国农业大学,国家杰出青年科学基金获得者,2025,科学家之家公众号,https://zhuanlan.zhihu.com/p/xxxx
