高校,人才称号,年份,总记录数,唯一姓名数,来源分布,来源数,疑似重复姓名,冲突标记
华北电力大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""李学宝""]",一致
华北电力大学,国家杰出青年科学基金获得者,2025,1,1,"{""willnanobio.com"": 1}",1,,一致
华南师范大学,国家杰出青年科学基金获得者,2025,2,2,"{""科学家之家公众号"": 2}",1,,一致
华南理工大学,国家优秀青年科学基金获得者,2025,2,2,"{""Unionpub学术"": 1, ""科学家之家公众号2025年优青公示"": 1}",2,,一致
南京信息工程大学,国家杰出青年科学基金获得者,2025,2,1,"{""Unionpub学术"": 1, ""科学家之家公众号2025年杰青公示"": 1}",2,"[""乐旭""]",一致
南京农业大学,国家杰出青年科学基金获得者,2025,7,6,"{""Unionpub学术"": 1, ""willnanobio.com"": 4, ""科学家之家公众号"": 1, ""科学家之家公众号2025年杰青公示"": 1}",4,"[""刘树伟""]",冲突
南京医科大学,国家优秀青年科学基金获得者,2025,1,1,"{""科学家之家公众号2025年优青公示"": 1}",1,,一致
南京医科大学,国家杰出青年科学基金获得者,2025,3,3,"{""willnanobio.com"": 2, ""科学家之家公众号"": 1}",2,,冲突
南京大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 2, ""科学家之家公众号2025年优青公示"": 1}",2,"[""胡泽华""]",冲突
南京大学,国家杰出青年科学基金获得者,2025,47,21,"{""Unionpub学术"": 13, ""willnanobio.com"": 7, ""科学家之家公众号"": 14, ""科学家之家公众号2025年杰青公示"": 13}",4,"[""应佚伦"", ""梁勇"", ""朱从青"", ""李劼"", ""韦斯"", ""钟寰"", ""张蜡宝"", ""王学锋"", ""王涛"", ""程鑫"", ""丁利军"", ""王雷"", ""宋培建""]",冲突
南京工业大学,国家优秀青年科学基金获得者,2025,3,2,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""朱琳""]",一致
南京工业大学,国家杰出青年科学基金获得者,2025,2,2,"{""willnanobio.com"": 2}",1,,一致
南京师范大学,国家优秀青年科学基金获得者,2025,3,1,"{""Unionpub学术"": 1, ""willnanobio.com"": 1, ""科学家之家公众号2025年优青公示"": 1}",3,"[""姜波""]",一致
